Buckeyes Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Gators Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Spartans Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Volunteers Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Wildcats Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Buckeyes Small Bead Earrings All Clay,This feminine sterling silver earring pair is the perfect match with any of the She Beads jewelry pieces in your collection.,20,Earring SB AC,1
Gators Small Bead Earrings All Clay,This feminine sterling silver earring pair is the perfect match with any of the She Beads jewelry pieces in your collection.,20,Earring SB AC,1
Spartans Small Bead Earrings All Clay,This feminine sterling silver earring pair is the perfect match with any of the She Beads jewelry pieces in your collection.,20,Earring SB AC,1
Volunteers Small Bead Earrings All Clay,This feminine sterling silver earring pair is the perfect match with any of the She Beads jewelry pieces in your collection.,20,Earring SB AC,1
Wildcats Small Bead Earrings All Clay,This feminine sterling silver earring pair is the perfect match with any of the She Beads jewelry pieces in your collection.,20,Earring SB AC,1
One of a Kind Large Bead Set with Swarovski Crystal 19,,178,OAK 19,1
One of a Kind Large Bead Set with Swarovski Crystal 20,,178,OAK 20,1
One of a Kind Large Bead Set with Swarovski Crystal 21,,178,OAK 21,1
