Avery Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Avery Small Bead Bracelet All Clay,"These small bead beauties are the perfect anytime you want that one-of-a-kind accent.  Single or stacked, they√¢‚Ç¨‚Ñ¢re a surefire standout!",48,Bracelet SB AC,1
Avery Small Bead Bracelet with Sterling Silver Rounds,A timeless look from these sterling silver rounds. These bracelets are a great way to start your She Beads collection. ,50,Bracelet SB SR,1
Avery Small Bead Bracelet with Swarovski Crystal,Dainty designs and pretty patterns enhanced by tiny crystal spacers.  Perfect when you want to sport a little sparkle!,68,Bracelet SB CR,1
Avery Small Bead Bracelet with Bali Sterling Silver,"This diminutive, yet distinctive combination suggests a quiet elegance. Reserved and refined, its Bali sterling silver still says STYLE!",70,Bracelet SB BS,1
Avery Large Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,45,Bracelet LB SP,1
Avery Large Bead Bracelet All Clay,"For a truly artist inspired look, go all the way with an all clay!  Large and small bead combinations offer amazing combinations of our handmade clay designs.  Remember, ALL CLAY means ALL ART!",62,Bracelet LB AC,1
Avery Large Bead Bracelet with Sterling Silver Rounds,"Less is MORE!  So why not pick up this nicely priced pretty?  Our big, beautiful beads, matched with stunning sterling.  At this price, better grab a stack!",69,Bracelet LB SR,1
Avery Large Bead Bracelet Bali Sterling Silver,Artisan wrought Bali sterling silver accents the delicate intricacies of our hand designed clay patterns.  Crafted for the individual in you!,93,Bracelet LB BS,1
Avery Large Bead Bracelet with Swarovski Crystal,"Slip-on ELEGANCE! This is the definitive She Beads bracelet. No collection is complete without #1 stackable stunner. You'll be ""living large"" with beads to match!",98,Bracelet LB CR,1
Avery Small Bead Necklace with Silver Plate Rounds,The Silver Plate Necklaces are the most affordable of the She Beads necklaces. These necklaces are strung with 3-ply elastic and silver plated findings.,65,Necklace SB SP,1
Avery Small Bead Necklace All Clay,This hand rolled clay bead necklace is smart and simple.  Remember ALL CLAY means ALL ART!,120,Necklace SB AC,1
Avery Small Bead Necklace with Sterling Silver Rounds,"Priced right, this necklace combines our small beads, with just the right touch of shine.  Sterling silver rounds create the “luxe look” for less!",125,Necklace SB SR,1
Avery Small Bead Necklace with Bali Sterling Silver,Add grace and style to any ensemble when you accessorize with a touch of Bali sterling silver.  These intricately crafted spacers perfectly compliment our hand made clay designs.,165,Necklace SB BS,1
Avery Small Bead Necklace with Swarovski Crystal,Dainty designs and pretty patterns enhanced by tiny crystal spacers.  Perfect when you want to sport a little sparkle!,160,Necklace SB CR,1
Avery Large Bead Necklace with Silver Plate Rounds,The Silver Plate Necklaces are the most affordable of the She Beads necklaces. These necklaces are strung with 3-ply elastic and silver plated findings.,85,Necklace LB SP,1
Avery Large Bead Necklace All Clay,"Bigger IS better!  Our large bead necklace offers bigger, bolder designs.  We’ve alternated large and small beads to create this all clay collectible.  Remember, ALL CLAY means ALL ART!",140,Necklace LB AC,1
Avery Large Bead Necklace with Sterling Silver Rounds,"Priced right, this necklace combines our large beads, with just the right touch of shine.  Sterling silver rounds create the “luxe look” for less!",145,Necklace LB SR,1
Avery Large Bead Necklace with Bali Sterling Silver,Add grace and style to any ensemble when you accessorize with a touch of Bali sterling silver.  These intricately crafted spacers perfectly compliment our hand made clay designs.,195,Necklace LB BS,1
Avery Large Bead Necklace with Swarovski Crystal,Bold designs and pretty patterns enhanced by these blinging crystal spacers.  Perfect when you want to brighten your already gleeming smile!,215,Necklace LB CR,1
Avery Jumbo Bead Necklace with Swarovski Crystal,"Whether you are out for coffee with the girls or at the symphony with the beau, these large beads coupled with Swarovski Crystal make an exquisite necklace for any midsummer night’s dream…",225,Necklace JB CR,1
Avery Jumbo Bead Necklace with Bali Sterling Silver,"Whether you are out for coffee with the girls or at the symphony with the beau, these large beads coupled with Sterling Silver make an exquisite necklace for any midsummer night’s dream…",240,Necklace JB BS,1
Avery Clutch Key Chain,This four-bead buddy makes any key look custom! Its distinctive design makes it easy to spot and sport!,37,Keychain Clutch,1
Avery Wrist Key Chain All Clay,"Our couture key companion gives you a simple and stylish way to simplify your life. The oversized bead designs make organization, fashionable and FUN!",70,Keychain Wrist AC,1
Avery Wrist Key Chain with Silver Plate Rounds,"Our couture key companion gives you a simple and stylish way to simplify your life. The oversized bead designs make organization, fashionable and FUN!",55,Keychain Wrist SP,1
Avery Bauble Key Chain,"Big, bigger, BAUBLE! This fashion forward fob gives your keys the royal treatment. With a dash a Swarovski crystal it’s gorgeous, and good to GO!",38,Keychain Bauble,1
Avery Small Bead Watch with All Clay,"Function meets fashion with the She Beads signature watch. A double band of our small clay beads keep you up to the minute, perfectly in style!",138,Watch SB AC,1
Avery Post Earrings,Art for the EARS!  These earrings feature one-of-a-kind designs and a sterling silver post.  Keeping it simple never looked so special!,14,Earrings Post,1
Avery Small Bead Earrings All Clay,This feminine sterling silver earring pair is the perfect match with any of the She Beads jewelry pieces in your collection. ,20,Earrings SB AC,1
Avery Small Bead Earrings with Swarovski Crystal,Add a little light to your day and night.  It's the perfect accent to the twinkle in your eyes!  Our sterling silver French clip lets you add elegance to your ears. <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings),28,Earrings SB CR,1
Avery Large Bead Earrings All Clay,"Our small and large bead, nestle together on this sterling silver French clip classic.  It's a delicate dangle, with a designer flair! The Triple Crystal Earrings drop much lower than the others, creating a very elegant style! <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",28,Earrings Double AC,1
