Product Name,Description,Price,Product Number,"naming convention (0 = specify image name, 1 = follow naming convention)",image filename (if needed)
Avery Post Earrings 1,Art for the EARS!  These earrings feature one-of-a-kind designs and a sterling silver post.  Keeping it simple never looked so special!,14,Earrings Post,1,
Avery Post Earrings 2,Art for the EARS!  These earrings feature one-of-a-kind designs and a sterling silver post.  Keeping it simple never looked so special!,14,Earrings Post,1,
Avery Square Bead 1,"She Beads Squares are the fun, funky, fashionable jewelry addition to your add a bead charm bracelet! They easily slide onto and off of the leading add-a-bead charm bracelets! With so many different styles, we can't even pick a favorite!",10,"SOLO - Bead, Square",1,
Avery Square Bead 2,"She Beads Squares are the fun, funky, fashionable jewelry addition to your add a bead charm bracelet! They easily slide onto and off of the leading add-a-bead charm bracelets! With so many different styles, we can't even pick a favorite!",10,"SOLO - Bead, Square",1,
Avery Square Ring 1,"These She Beads Rings are calling! RING! Pick-up one of these artzy additions to add to your ring collection today. Square Rings are made with a silver plated, adjustable base. One size fits all.",24,Ring- Square,1,
Avery Square Ring 2,"These She Beads Rings are calling! RING! Pick-up one of these artzy additions to add to your ring collection today. Square Rings are made with a silver plated, adjustable base. One size fits all.",24,Ring- Square,1,
Madeline Post Earrings 1,Art for the EARS!  These earrings feature one-of-a-kind designs and a sterling silver post.  Keeping it simple never looked so special!,14,Earrings Post,1,
Madeline Post Earrings 2,Art for the EARS!  These earrings feature one-of-a-kind designs and a sterling silver post.  Keeping it simple never looked so special!,14,Earrings Post,1,
Madeline Square Ring 1,"These She Beads Rings are calling! RING! Pick-up one of these artzy additions to add to your ring collection today. Square Rings are made with a silver plated, adjustable base. One size fits all.",24,Ring- Square,1,
Madeline Square Ring 2,"These She Beads Rings are calling! RING! Pick-up one of these artzy additions to add to your ring collection today. Square Rings are made with a silver plated, adjustable base. One size fits all.",24,Ring- Square,1,
Maledline Square Bead 1,"She Beads Squares are the fun, funky, fashionable jewelry addition to your add a bead charm bracelet! They easily slide onto and off of the leading add-a-bead charm bracelets! With so many different styles, we can't even pick a favorite!",10,"SOLO - Bead, Square",1,
Maledline Square Bead 2,"She Beads Squares are the fun, funky, fashionable jewelry addition to your add a bead charm bracelet! They easily slide onto and off of the leading add-a-bead charm bracelets! With so many different styles, we can't even pick a favorite!",10,"SOLO - Bead, Square",1,
Tess Post Earrings 1,Art for the EARS!  These earrings feature one-of-a-kind designs and a sterling silver post.  Keeping it simple never looked so special!,14,Earrings Post,1,
Tess Post Earrings 2,Art for the EARS!  These earrings feature one-of-a-kind designs and a sterling silver post.  Keeping it simple never looked so special!,14,Earrings Post,1,
Tess Square Bead 1,"She Beads Squares are the fun, funky, fashionable jewelry addition to your add a bead charm bracelet! They easily slide onto and off of the leading add-a-bead charm bracelets! With so many different styles, we can't even pick a favorite!",10,"SOLO - Bead, Square",1,
Tess Square Bead 2,"She Beads Squares are the fun, funky, fashionable jewelry addition to your add a bead charm bracelet! They easily slide onto and off of the leading add-a-bead charm bracelets! With so many different styles, we can't even pick a favorite!",10,"SOLO - Bead, Square",1,
Tess Square Ring 1,"These She Beads Rings are calling! RING! Pick-up one of these artzy additions to add to your ring collection today. Square Rings are made with a silver plated, adjustable base. One size fits all.",24,Ring- Square,1,
Tess Square Ring 2,"These She Beads Rings are calling! RING! Pick-up one of these artzy additions to add to your ring collection today. Square Rings are made with a silver plated, adjustable base. One size fits all.",24,Ring- Square,1,
Avery Luck-Be-A-Lady Necklace,"She Beads necklaces revised! Luck-Be-A-Lady Necklaces provide a petite punch of color with a light, airy weight. Formal to everyday, these necklaces feature She Beads and Swarovski Crystals draped on 3 silver-finished wires. Each necklace has adjustable lengths (16-20in.)",125,LuckBeALady,1,
Avery Soloist Necklace,"She Beads necklaces revised! The Soloist Necklaces provide a petite punch of color with a light, airy weight. Formal to everyday, these necklaces feature She Beads and Swarovski Crystals draped on a silver-finished wire. Each necklace has adjustable lengths (16-20in.)",60,Soloist,1,
Madeline Luck-Be-A-Lady Necklace,"She Beads necklaces revised! Luck-Be-A-Lady Necklaces provide a petite punch of color with a light, airy weight. Formal to everyday, these necklaces feature She Beads and Swarovski Crystals draped on 3 silver-finished wires. Each necklace has adjustable lengths (16-20in.)",125,LuckBeALady,1,
Madeline Soloist Necklace,"She Beads necklaces revised! The Soloist Necklaces provide a petite punch of color with a light, airy weight. Formal to everyday, these necklaces feature She Beads and Swarovski Crystals draped on a silver-finished wire. Each necklace has adjustable lengths (16-20in.)",60,Soloist,1,
Tess Luck-Be-A-Lady Necklace,"She Beads necklaces revised! Luck-Be-A-Lady Necklaces provide a petite punch of color with a light, airy weight. Formal to everyday, these necklaces feature She Beads and Swarovski Crystals draped on 3 silver-finished wires. Each necklace has adjustable lengths (16-20in.)",125,LuckBeALady,1,
Tess Soloist Necklace,"She Beads necklaces revised! The Soloist Necklaces provide a petite punch of color with a light, airy weight. Formal to everyday, these necklaces feature She Beads and Swarovski Crystals draped on a silver-finished wire. Each necklace has adjustable lengths (16-20in.)",60,Soloist,1,
