Product Name,Description,Price,Product Number,"naming convention (0 = specify image name, 1 = follow naming convention)",image filename (if needed)
Intention Bracelet 066bf,Intention: To follow a reliable course of action. Affirmation: I am strong in my personal desires and I achieve them.,128,ITBracelet,1,
Intention Bracelet 084af,Intention: To break down any barriers that keep me from international travel. Affirmation: I am comfortable and relaxed to travel to foreign lands and to learn about their cultures.,128,ITBracelet,1,
Intention Bracelet 102af,Intention: To enjoy time with family. Affirmation: I have a wonderful and valuable time when I spend it with family. I have fun.,128,ITBracelet,1,
Intention Bracelet 102bf,Intention: To enjoy time with family. Affirmation: I have a wonderful and valuable time when I spend it with family. I have fun.,128,ITBracelet,1,
Intention Bracelet 102cm,Intention: To enjoy time with family. Affirmation: I have a wonderful and valuable time when I spend it with family. I have fun.,128,ITBracelet,1,
Intention Bracelet 106bm,Intention: To have a chance to correct issues that are troublesome. Affirmation: I can straighten out situations that have been bothering me.,128,ITBracelet,1,
Intention Bracelet 108f,"Intention: To enjoy fun, romance and creative times with a lover. Affirmation: I am happy in my fun and exciting relationship with my lover.",128,ITBracelet,1,
Intention Bracelet 114f,Intention: To buy a new home or real estate. Affirmation: I am fortunate and comfortable investing in a new home or real estate.,128,ITBracelet,1,
Intention Bracelet 115f,Intention: To have a successful outcome with pregnancy. Affirmation: I achieve a successful pregnancy with no complications.,128,ITBracelet,1,
Intention Bracelet 116af,Intention: To be motivated to change situations in my life. Affirmation: I have abundant energy to transform the many opportunities that are presented to me. I have a successful outcome.,128,ITBracelet,1,
Intention Bracelet 116bf,Intention: To be motivated to change situations in my life. Affirmation: I have abundant energy to transform the many opportunities that are presented to me. I have a successful outcome.,128,ITBracelet,1,
Intention Bracelet 116cm,Intention: To be motivated to change situations in my life. Affirmation: I have abundant energy to transform the many opportunities that are presented to me. I have a successful outcome.,128,ITBracelet,1,
