Couture Large Bead Bracelet and Earrings Set with Indian Pink Swarovski Crystal C016,,178,C016,1
Couture Large Bead Bracelet and Earrings Set with Rose Opal Swarovski Crystal C017,,178,C017,1
Couture Large Bead Bracelet and Earrings Set with Sand Opal Swarovski Crystal C018,,178,C018,1
Couture Large Bead Bracelet and Earrings Set with Sian Swarovski Crystal C019,,178,C019,1
Limited Edition Black and White Pen,,35,,1
Limited Edition Black and White Purse Holder,,24,,1
Limited Edition Black and White Ring,"These She Beads Rings are calling! RING! Pick-up one of these artzy additions to add to your ring collection today. Square Rings are made with a silver plated, adjustable base. One size fits all.",24,,1
Limited Edition Brown Large Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,45,Bracelet LB SP,1
Limited Edition Butter Knife,,35,,1
Limited Edition Christmas Large Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,45,Bracelet LB SP,1
Limited Edition Christmas Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Limited Edition Halloween Large Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,45,Bracelet LB SP,1
Limited Edition Halloween Large Bead Earrings All Clay,"Our small and large bead, nestle together on this sterling silver French clip classic.  It's a delicate dangle, with a designer flair! The Triple Crystal Earrings drop much lower than the others, creating a very elegant style! <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",28,Earrings Double AC,1
Limited Edition Halloween Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Limited Edition Halloween Small Bead Earrings All Clay,This feminine sterling silver earring pair is the perfect match with any of the She Beads jewelry pieces in your collection. ,20,Earrings Single AC,1
Limited Edition Large Bead Bracelet with Bali Sterling Silver,Artisan wrought Bali sterling silver accents the delicate intricacies of our hand designed clay patterns.  Crafted for the individual in you!,93,Bracelet LB BS,1
Limited Edition Large Bead Bracelet with Patterned Copper Spacers,,93,Bracelet LB SR,1
Limited Edition Letter Opener,,35,,1
Limited Edition Magenta Large Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,45,Bracelet LB SP,1
Limited Edition Purple Large Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,45,Bracelet LB SP,1
Limited Edition Small Bead Bracelet with Bali Sterling Silver,"This diminutive, yet distinctive combination suggests a quiet elegance. Reserved and refined, its Bali sterling silver still says STYLE!",70,Bracelet SB BS,1
Limited Edition Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Limited Edition Thanksgiving Large Bead Bracelet with Copper Rounds,,69,Bracelet LB SR,1
Limited Edition Thanksgiving Large Bead Earrings All Clay,"Our small and large bead, nestle together on this sterling silver French clip classic.  It's a delicate dangle, with a designer flair! The Triple Crystal Earrings drop much lower than the others, creating a very elegant style! <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",28,Earrings Double CR,1
Limited Edition Thanksgiving Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Limited Edition Thanksgiving Small Bead Earrings All Clay,This feminine sterling silver earring pair is the perfect match with any of the She Beads jewelry pieces in your collection. ,20,Earrings Single AC,1
Limited Edition Wine Stopper,,24,,1
One of a Kind Gold Chain Bracelet K024,,149,Keychain Bauble,1
One of a Kind Half and Half Bracelet with Swarovski Crystal K025,,62,Bracelet LB AC,1
One of a Kind Half and Half Bracelet with Swarovski Crystal K026,,62,Bracelet LB AC,1
One of a Kind Half and Half Bracelet with Swarovski Crystal K027,,62,Bracelet LB AC,1
"One of a Kind Jumbo Bead Necklace, Large Bead Bracelet and Earrings Set with Peach Swarovski Crystal K028",,359,Earrings Double AC,1
One of a Kind Large Bead Bracelet All Clay K029,"For a truly artist inspired look, go all the way with an all clay!  Large and small bead combinations offer amazing combinations of our handmade clay designs.  Remember, ALL CLAY means ALL ART!",62,Bracelet LB AC,1
One of a Kind Large Bead Bracelet and Earrings Set with Clear Swarovski Crystal K030,,126,,1
One of a Kind Large Bead Bracelet and Earrings Set with Copper Rounds K031,,97,,1
One of a Kind Large Bead Bracelet and Earrings Set with Palace Green Swarovski Crystal K032,,126,,1
One of a Kind Large Bead Bracelet with Bali Sterling Silver K033,Artisan wrought Bali sterling silver accents the delicate intricacies of our hand designed clay patterns.  Crafted for the individual in you!,93,Bracelet LB BS,1
One of a Kind Large Bead Bracelet with Bali Sterling Silver K034,Artisan wrought Bali sterling silver accents the delicate intricacies of our hand designed clay patterns.  Crafted for the individual in you!,93,Bracelet LB BS,1
One of a Kind Large Bead Bracelet with Bali Sterling Silver K035,Artisan wrought Bali sterling silver accents the delicate intricacies of our hand designed clay patterns.  Crafted for the individual in you!,93,Bracelet LB BS,1
